state,county,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two or more races: Two races including Some other race,Two or more races: Two races excluding Some other race and three or more races,Total_1,Car truck or van,Car truck or van: Drove alone,Car truck or van: Carpooled,Car truck or van: Carpooled: In 2-person carpool,Car truck or van: Carpooled: In 3-person carpool,Car truck or van: Carpooled: In 4-person carpool,Car truck or van: Carpooled: In 5- or 6-person carpool,Car truck or van: Carpooled: In 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab): Bus or trolley bus,Public transportation (excluding taxicab): Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): Subway or elevated,Public transportation (excluding taxicab): Railroad,Public transportation (excluding taxicab): Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home,Total_2,Family households,Family households: Married-couple family,Family households: Other family,Family households: Other family: Male householder no wife present,Family households: Other family: Female householder no husband present,Nonfamily households,Nonfamily households: Householder living alone,Nonfamily households: Householder not living alone
Indiana,Tipton County,96.20843738,0.164279143,0.006571166,0.335129452,0.400841109,1.176238665,1.708503088,0.328558286,1.379944802,48.49520305,46.06387173,41.28006308,4.783808648,4.461821527,0.249704298,0.065711657,0.006571166,0,0.164279143,0.164279143,0,0,0,0,0,0,0,0.703114733,0.236561966,1.327375476,41.36548824,27.85517151,22.78223157,5.07293994,1.636220265,3.436719674,13.51031673,11.26297805,2.247338678
Indiana,Union County,97.38571229,0.069900741,0,0.992590521,0,0,1.551796449,0,1.551796449,46.44205229,43.29651894,38.68307004,4.613448903,4.347826087,0.15378163,0,0,0.111841186,0,0,0,0,0,0,0,0.195722075,0.041940445,0.936669929,0.866769188,1.104431707,39.78750175,25.47183,20.4809171,4.990912904,1.845379561,3.145533343,14.31567175,11.75730463,2.558367119
Indiana,Vanderburgh County,85.4042457,9.41024637,0.113615681,1.218335144,0.155532146,1.109131722,2.58889324,0.14725916,2.44163408,47.43509842,44.06192606,40.64683724,3.415088824,2.727879413,0.361253744,0.158289808,0.022061297,0.145604562,0.679487957,0.648050609,0.030334284,0,0.001103065,0,0.027025089,0.036952673,0.070044619,1.036880974,0.41254626,1.110234787,41.47358435,24.41248008,17.49957256,6.912907514,1.667282545,5.245624969,17.06110428,13.97472878,3.086375494
Indiana,Vermillion County,96.8251928,1.407455013,0.30848329,0.276349614,0,0.392030848,0.790488432,0,0.790488432,41.69023136,39.12596401,35.00642674,4.119537275,3.708226221,0.327763496,0.083547558,0,0,0.302056555,0.302056555,0,0,0,0,0,0.096401028,0,1.111825193,0.064267352,0.989717224,42.51928021,27.6285347,20.43059126,7.197943445,1.960154242,5.237789203,14.8907455,12.40359897,2.48714653
Indiana,Vigo County,87.17836814,6.534315137,0.179213134,1.883130751,0.044571142,0.861708746,3.318692951,0.354712005,2.963980946,44.25078696,40.42509727,36.2948381,4.130259163,3.416192324,0.456854206,0.126284902,0.046428273,0.084499457,0.479139777,0.450354248,0,0,0.002785696,0.025999833,0.004642827,0.03064266,0.207998663,1.53584727,0.30271234,1.264706155,38.88275004,23.15842255,16.16818178,6.990240777,1.893344971,5.096895806,15.72432749,12.47341981,3.250907673
Indiana,Wabash County,95.67512883,0.992697038,0.616483829,0.290853909,0,1.106509437,1.318326958,0.284530998,1.03379596,45.57870444,41.78811925,39.35379849,2.434320761,1.972748253,0.230786254,0.192848788,0.003161456,0.034776011,0.328791376,0.328791376,0,0,0,0,0,0.047421833,0,2.143466852,0.208656065,1.062249059,40.70374,26.89450223,21.22601246,5.668489773,1.523821567,4.144668205,13.80923777,11.66577092,2.143466852
Indiana,Warren County,97.75676003,0.642657936,0.218261186,0.012125621,0,0.121256214,1.248939008,0.072753729,1.176185279,46.40475324,44.16151328,37.88044137,6.281071905,4.619861768,1.285315872,0.375894265,0,0,0.194009943,0.194009943,0,0,0,0,0,0.109130593,0,0.824542258,0.157633079,0.957924094,41.03310295,30.39893295,24.1542379,6.244695041,2.704013581,3.54068146,10.63417,9.397356615,1.236813387
Indiana,Warrick County,93.70397881,1.731042501,0.142100504,2.7128278,0.004844335,0.608771477,1.096434569,0.132411833,0.964022736,50.07266503,47.47771606,43.8622271,3.615488955,3.174654437,0.25029066,0.140485725,0.004844335,0.045213797,0.163092624,0.146944839,0,0,0.016147785,0,0,0.058132024,0,0.700813848,0.452137967,1.22077251,39.1858287,28.5072988,23.81959695,4.687701847,1.569564656,3.118137192,10.67852991,8.600310037,2.078219868
Indiana,Washington County,98.10256226,0.08624717,0.27670967,0.309052359,0,0.097028066,1.128400474,0,1.128400474,42.30064326,39.40776943,35.41883782,3.988931613,3.245049772,0.485140331,0.06827901,0.17249434,0.01796816,0.039529953,0.014374528,0,0,0.025155425,0,0,0.053904481,0.043123585,0.592949294,0.298271463,1.865095052,38.52732957,27.98361304,21.64444604,6.339166996,1.804003306,4.53516369,10.54371653,9.436877852,1.106838682
Indiana,Wayne County,90.06800474,5.249726029,0.195157101,1.023824178,0,0.809151367,2.65413658,0.046537463,2.607599117,43.94187321,39.56735172,36.24217495,3.325176767,2.58508099,0.45186375,0.193655893,0.066053173,0.028522961,0.067554381,0.067554381,0,0,0,0,0.073559215,0.165132932,0.097578551,1.427649258,0.927746836,1.615300317,39.94865867,26.08349722,18.20815757,7.875339648,1.983096393,5.892243256,13.86516145,11.61635116,2.248810292
