state,county,Total,ar_Under_1_years_White,ar_1_to_9_years_White,ar_10_to_14_years_White,ar_15_to_17_years_White,ar_18_and_19_years_White,ar_20_to_24_years_White,ar_25_to_29_years_White,ar_30_to_34_years_White,ar_35_to_44_years_White,ar_45_to_54_years_White,ar_55_to_64_years_White,ar_65_to_74_years_White,ar_75_to_84_years_White,ar_85_years_and_over_White,ar_Under_1_years_Black,ar_1_to_9_years_Black,ar_10_to_14_years_Black,ar_15_to_17_years_Black,ar_18_and_19_years_Black,ar_20_to_24_years_Black,ar_25_to_29_years_Black,ar_30_to_34_years_Black,ar_35_to_44_years_Black,ar_45_to_54_years_Black,ar_55_to_64_years_Black,ar_65_to_74_years_Black,ar_75_to_84_years_Black,ar_85_years_and_over_Black,ar_Under_1_years_Native,ar_1_to_9_years_Native,ar_10_to_14_years_Native,ar_15_to_17_years_Native,ar_18_and_19_years_Native,ar_20_to_24_years_Native,ar_25_to_29_years_Native,ar_30_to_34_years_Native,ar_35_to_44_years_Native,ar_45_to_54_years_Native,ar_55_to_64_years_Native,ar_65_to_74_years_Native,ar_75_to_84_years_Native,ar_85_years_and_over_Native,ar_Under_1_years_Asian,ar_1_to_9_years_Asian,ar_10_to_14_years_Asian,ar_15_to_17_years_Asian,ar_18_and_19_years_Asian,ar_20_to_24_years_Asian,ar_25_to_29_years_Asian,ar_30_to_34_years_Asian,ar_35_to_44_years_Asian,ar_45_to_54_years_Asian,ar_55_to_64_years_Asian,ar_65_to_74_years_Asian,ar_75_to_84_years_Asian,ar_85_years_and_over_Asian,ar_Under_1_years_PI,ar_1_to_9_years_PI,ar_10_to_14_years_PI,ar_15_to_17_years_PI,ar_18_and_19_years_PI,ar_20_to_24_years_PI,ar_25_to_29_years_PI,ar_30_to_34_years_PI,ar_35_to_44_years_PI,ar_45_to_54_years_PI,ar_55_to_64_years_PI,ar_65_to_74_years_PI,ar_75_to_84_years_PI,ar_85_years_and_over_PI,ar_Under_1_years_Hispanic,ar_1_to_9_years_Hispanic,ar_10_to_14_years_Hispanic,ar_15_to_17_years_Hispanic,ar_18_and_19_years_Hispanic,ar_20_to_24_years_Hispanic,ar_25_to_29_years_Hispanic,ar_30_to_34_years_Hispanic,ar_35_to_44_years_Hispanic,ar_45_to_54_years_Hispanic,ar_55_to_64_years_Hispanic,ar_65_to_74_years_Hispanic,ar_75_to_84_years_Hispanic,ar_85_years_and_over_Hispanic,ar_Under_1_years_With_a_disability,ar_Under 5 years_ With a disability,ar_5 to 17 years_ With a disability,ar_18_to_34_years_With_a_disability,ar_35_to_64_years_With_a_disability,ar_65_to_74_years_With_a_disability,ar_75_years_and_over_With_a_disability
Alabama,Chilton,36599,1061,1209,1133,734,374,1051,1136,1115,2246,2452,2496,1786,870,176,248,153,33,88,144,114,172,67,276,190,284,136,108,5,0,0,0,0,0,0,0,0,0,26,1,0,0,48,0,4,0,16,0,0,0,22,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,302,140,212,7,175,188,244,424,23,47,57,0,48,0,0,453,500,1733,566,644
Alabama,Choctaw,7420,133,211,238,150,105,156,166,167,420,495,514,470,276,78,158,172,160,185,14,193,182,129,262,357,409,276,158,6,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,1,0,0,3,0,0,8,0,0,0,11,11,117,145,799,291,281
Alabama,Clarke,12935,301,262,413,242,99,380,331,303,662,879,929,806,539,67,360,413,371,270,148,401,313,273,651,688,671,405,183,20,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,45,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,195,206,634,272,480
Alabama,Clay,11106,269,174,477,221,145,417,157,149,725,808,838,609,359,66,36,82,62,29,68,33,80,46,156,80,106,77,45,20,0,0,30,14,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,30,0,0,33,0,0,0,26,41,6,7,0,0,0,133,26,422,282,233
Alabama,Cleburne,14068,423,458,450,303,159,379,423,358,883,969,935,752,355,103,0,0,0,3,0,5,13,31,15,30,35,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,22,13,19,0,9,19,45,2,20,0,0,0,0,0,110,181,785,290,294
Alabama,Coffee,38923,1137,1041,1418,853,470,1091,1287,1312,2523,2713,2444,1893,869,310,356,218,346,238,141,264,271,283,592,568,559,346,90,62,9,6,47,0,6,17,0,27,68,30,33,58,2,0,6,27,0,0,0,9,61,2,12,5,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,260,138,101,124,59,153,181,321,166,130,52,4,0,0,0,553,668,1707,819,776
Alabama,Colbert,43288,1150,1090,1362,796,446,1190,1355,1177,2480,2926,3011,2268,1108,453,216,348,223,192,162,287,288,233,478,522,540,375,163,46,0,0,41,0,1,0,12,0,17,0,0,7,10,0,2,3,8,0,0,0,0,17,17,15,18,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,113,53,37,0,25,77,30,179,75,27,12,0,0,0,0,221,403,2205,913,866
Alabama,Conecuh,6369,141,184,114,118,92,132,168,161,286,442,552,454,235,94,253,226,218,94,101,202,180,264,189,298,371,368,65,11,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,6,11,0,12,0,0,0,0,0,0,110,355,494,290,226
Alabama,Coosa,7133,113,103,203,62,98,160,187,141,395,571,685,523,239,59,49,135,209,110,34,124,138,107,224,266,290,112,144,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,14,0,0,0,0,0,0,140,97,557,237,216
Alabama,Covington,31624,920,1066,815,602,305,825,883,841,1732,2088,2326,1792,965,229,129,201,210,119,27,227,192,127,226,292,264,132,83,28,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,27,7,2,0,3,0,0,7,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,68,11,33,2,18,9,25,4,96,55,9,4,10,0,0,476,336,1447,853,757
Alabama,Crenshaw,9938,293,337,304,203,103,281,285,255,563,674,717,577,250,42,112,56,150,54,62,63,121,23,262,170,226,140,55,20,0,12,0,0,4,0,13,0,1,2,8,6,0,0,44,0,0,0,0,0,7,15,0,24,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,31,0,31,0,44,31,0,8,0,0,0,0,79,99,659,260,181
Alabama,Cullman,78392,2384,2173,2727,1572,866,2214,2556,2408,4755,5358,5257,4003,2084,324,13,11,37,14,38,88,30,68,32,92,67,19,27,0,0,22,38,0,0,0,0,0,49,44,0,31,0,0,25,0,0,0,0,0,0,37,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,184,239,109,67,101,179,174,280,171,110,33,0,0,85,85,413,745,2860,1657,1217
Alabama,Dale,35889,1095,1109,1015,626,354,1341,1277,1376,2094,2375,2410,1780,989,234,250,523,261,210,95,448,337,239,543,551,566,281,94,19,11,0,29,29,0,12,0,11,40,34,8,27,0,0,16,27,15,11,0,14,29,13,16,7,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,202,98,95,10,194,152,144,191,206,130,8,12,16,5,5,454,592,1978,923,715
Alabama,Dallas,11257,237,372,161,186,156,199,259,264,552,727,974,823,403,85,943,926,1278,707,407,950,830,713,1365,1481,1685,993,463,56,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,6,0,0,0,0,0,41,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,16,0,0,1,76,18,100,13,0,0,0,0,277,457,1466,588,570
Alabama,DeKalb,60972,1633,1863,2186,1245,784,1810,1736,1674,3688,4319,4118,3191,1570,195,17,56,17,3,10,16,18,34,46,113,32,43,0,0,96,14,0,34,0,8,156,8,18,60,64,58,8,0,0,4,0,0,0,0,0,65,0,25,0,0,0,0,127,74,0,0,0,0,13,0,65,0,0,0,0,0,618,607,772,343,226,386,390,434,833,503,248,45,0,0,0,0,363,436,2234,1075,966
Alabama,Elmore,60824,1701,1934,1844,1243,650,1784,1830,1750,3759,4234,4101,2983,1287,373,609,408,755,347,349,983,832,701,1261,1076,794,345,154,15,0,0,0,0,0,0,0,72,25,39,13,36,11,0,0,0,22,0,0,0,50,0,46,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,114,142,68,82,132,5,89,173,112,89,50,0,14,21,21,451,934,2900,1366,1060
Alabama,Escambia,23095,624,611,765,413,199,611,704,664,1564,1665,1657,1253,686,128,402,484,230,257,151,474,665,613,1012,775,638,364,203,22,54,29,79,13,27,71,34,46,46,124,36,55,68,0,0,0,0,0,0,24,0,38,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,6,110,32,32,0,46,24,6,77,42,84,10,0,8,0,0,155,263,1681,583,517
Alabama,Etowah,82710,2268,2564,2274,1614,848,2375,2482,2216,5028,5761,5654,4495,2100,583,554,603,452,414,285,777,471,465,913,927,918,544,172,33,21,0,67,0,0,3,0,14,8,40,19,35,8,0,0,13,9,39,0,0,26,31,168,9,24,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,253,256,115,5,232,175,93,320,223,103,54,0,0,47,47,801,1270,4108,1789,1483
Alabama,Fayette,14095,380,387,488,277,166,436,408,355,791,940,987,779,403,139,113,107,4,22,17,48,34,110,107,133,131,122,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,67,0,0,0,0,0,0,0,0,0,0,0,0,0,188,248,989,378,377
Alabama,Franklin,26467,818,695,869,533,264,963,767,1049,1529,1760,1652,1241,636,189,81,31,85,53,6,45,143,2,68,0,76,47,9,0,0,0,0,0,0,21,67,0,24,96,0,7,0,0,0,0,2,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,167,453,150,44,436,199,423,433,194,0,72,0,0,0,0,128,318,1023,440,485
Alabama,Geneva,22871,572,736,730,439,210,594,622,599,1346,1645,1646,1295,620,157,94,105,69,49,89,73,47,106,104,125,157,99,57,12,0,0,0,5,0,27,0,0,12,29,19,19,14,8,0,0,13,0,13,2,0,0,13,2,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,49,76,90,49,0,56,9,22,105,84,32,0,7,0,23,23,328,279,1196,716,502
Alabama,Greene,1445,41,35,0,0,0,13,91,16,69,103,158,96,60,40,217,128,259,37,1,335,220,180,307,355,446,316,150,56,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,68,93,405,323,168
Alabama,Hale,5898,195,206,121,86,53,137,164,155,298,376,484,403,192,28,293,330,270,211,187,268,272,221,407,477,521,362,83,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,0,0,0,26,26,65,218,653,279,228
Alabama,Henry,12179,321,257,485,229,169,271,303,288,728,767,831,802,393,74,119,128,147,94,53,204,129,80,307,289,325,239,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,20,0,15,75,21,8,17,10,0,0,9,0,20,20,74,130,727,328,263
Alabama,Houston,72387,2013,1924,2463,1399,691,1871,2195,2201,4399,4960,4872,3808,1845,584,1067,1201,1117,729,367,997,944,904,1522,1499,1392,828,344,79,0,7,14,0,0,27,4,4,36,7,19,17,3,0,16,10,20,8,5,22,45,37,66,63,49,13,19,4,0,9,5,0,0,0,0,0,0,0,0,0,0,0,198,233,142,92,37,156,143,183,264,185,92,57,33,4,14,14,602,1165,3609,1531,1559
Alabama,Jackson,47412,1227,1505,1418,973,501,1279,1386,1211,2867,3299,3406,2616,1229,340,91,100,9,29,0,66,105,111,89,81,144,86,10,17,14,23,25,0,2,8,38,47,9,28,84,14,7,0,1,1,10,0,0,0,0,5,8,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,59,124,60,36,8,19,93,97,115,85,23,10,0,0,0,0,254,592,2272,1037,828
Alabama,Jefferson,342591,9859,9117,9648,5710,3934,9951,12175,11713,21239,22223,23315,16211,7809,3090,9381,10641,9563,6221,3686,9871,9986,8667,15858,15391,16071,8925,3325,813,0,29,79,28,31,99,97,0,181,78,116,69,10,0,243,283,342,176,136,319,392,515,940,828,389,212,62,14,0,0,8,17,0,7,11,11,0,9,29,4,0,0,1784,2007,864,581,339,980,1257,1269,2121,1239,678,240,70,19,154,154,4508,5933,20637,7757,7146
Alabama,Lamar,12187,339,433,316,249,120,294,318,300,684,823,875,719,343,125,33,62,65,24,43,65,19,39,50,137,127,31,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,15,0,0,0,20,0,0,0,0,0,0,0,0,0,0,200,141,634,287,322
Alabama,Lauderdale,80561,2039,2367,2007,1423,1066,3136,2480,2204,4383,5179,5313,4299,2069,771,288,370,272,196,156,526,355,206,539,498,495,288,40,96,43,0,0,0,0,0,35,30,6,95,11,12,6,0,9,28,40,6,30,19,43,13,26,20,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0,134,158,88,20,36,94,147,52,201,115,7,47,22,31,38,38,494,790,2396,1381,1487
Alabama,Lawrence,25942,701,854,640,462,247,717,780,687,1525,1947,1781,1362,645,172,71,106,130,56,75,91,128,95,192,266,268,192,87,14,29,34,69,51,0,44,52,134,170,83,131,20,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,51,0,77,9,0,5,110,30,6,0,11,0,8,8,223,393,1485,779,334
Alabama,Lee,111986,3120,3055,3295,1900,2899,9000,4198,3619,6535,6344,5654,4176,1746,536,1115,1205,1501,700,577,1786,1583,1112,1964,2036,1834,934,309,42,0,0,0,0,11,16,18,0,10,17,10,0,16,0,218,150,300,132,190,453,313,296,577,462,254,88,53,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,291,261,276,82,109,366,353,308,595,204,182,105,0,0,54,54,704,1343,4729,1887,1433
Alabama,Limestone,75143,2059,2549,2310,1601,921,1949,2244,2413,5233,5697,5000,3459,1600,385,264,340,424,263,234,439,557,570,1127,1093,751,376,118,40,0,0,3,0,0,0,82,5,143,29,65,19,46,0,0,0,120,67,0,83,20,11,68,130,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,411,251,150,167,202,137,255,543,149,9,65,29,27,0,0,729,694,2739,1255,1182
Alabama,Lowndes,2546,125,4,31,55,34,53,28,79,123,181,232,191,124,20,240,278,242,160,85,252,277,227,387,458,476,279,140,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,7,0,0,0,14,0,0,0,4,4,102,137,562,224,128
Alabama,Macon,3025,66,95,30,39,52,95,85,72,147,217,262,256,108,20,409,377,414,289,433,967,443,352,649,753,940,711,293,97,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,5,10,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,50,17,0,12,13,0,61,0,0,13,34,0,0,0,0,60,180,666,356,255
Alabama,Madison,243835,6613,6927,7246,4658,2802,7484,8253,8142,14538,18627,17854,10621,5827,1739,2945,2579,3212,1667,1700,4001,3472,2816,4828,5080,4489,2288,874,145,35,18,77,31,13,33,50,73,148,165,132,85,18,6,220,288,267,142,171,396,333,312,592,646,455,370,85,17,0,0,12,8,0,0,17,35,16,51,10,0,0,0,939,1071,778,419,313,698,800,839,1305,904,608,238,101,0,88,88,2063,2842,8566,3848,3979
Alabama,Marengo,8855,215,256,238,175,87,230,233,207,490,587,641,516,366,42,381,594,352,234,204,201,455,165,627,572,636,431,179,40,7,0,0,0,7,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,10,0,0,5,0,0,0,0,269,347,889,493,357
Alabama,Marion,27886,713,840,879,589,323,760,773,696,1569,1997,1936,1559,877,172,0,23,11,3,0,32,111,62,119,124,104,78,12,0,1,0,8,0,0,0,2,11,11,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,31,82,26,44,10,18,57,19,44,38,0,0,0,37,37,319,438,1704,726,665
Alabama,Marshall,87887,3049,2875,3090,1910,1091,2667,2744,2502,5097,5754,5454,4237,2001,531,149,59,152,66,38,132,101,115,169,203,117,27,9,2,2,0,1,2,3,7,8,31,23,25,54,20,58,0,7,8,35,63,3,22,12,0,58,39,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1034,857,885,446,253,476,560,651,989,580,91,204,69,7,0,0,407,723,2961,1437,1212
Alabama,Mobile,243658,6972,6405,7673,4445,2689,7442,8404,7596,14452,16088,16781,12333,5821,1441,5868,5148,6153,3585,2068,5491,5212,4295,7574,7689,8061,4392,1882,493,42,29,94,104,15,171,88,79,327,224,224,194,0,4,218,246,241,162,96,288,318,358,590,582,367,284,43,31,0,0,0,0,0,0,0,15,14,0,16,0,0,0,557,593,632,192,71,513,547,549,982,635,477,316,137,16,70,70,2148,3146,11482,5240,4828
Alabama,Monroe,11814,276,317,397,244,173,289,293,270,614,797,866,751,331,144,381,342,301,221,78,383,231,196,326,523,567,344,142,49,19,19,18,0,0,0,22,10,9,0,26,7,0,0,0,0,0,24,0,0,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,16,0,0,0,0,0,0,0,0,34,0,0,0,0,122,142,696,260,257
Alabama,Montgomery,82862,2229,2102,2093,1213,887,2582,2688,2707,4871,5434,5935,4608,2493,674,4665,4849,4507,3022,2180,5448,5325,4199,7551,6795,6295,3550,1453,331,27,0,0,0,0,34,0,24,14,35,89,8,0,0,192,296,178,72,68,91,210,182,700,549,193,88,64,7,0,0,0,0,0,0,0,0,0,19,10,0,0,0,720,640,336,157,83,279,312,367,596,281,186,41,89,0,2,2,1794,2466,6865,2588,2708
Alabama,Morgan,95966,2630,2976,2958,1968,1070,2682,2817,2883,5882,6895,6701,4815,2341,760,592,777,328,333,211,612,588,524,1023,1045,767,379,150,13,11,5,61,0,0,9,12,44,75,88,18,38,0,0,59,66,29,0,0,20,89,32,34,23,21,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,589,594,598,286,220,274,472,521,881,489,192,83,74,0,11,11,826,1267,3724,1602,1895
Alabama,Perry,2838,90,19,25,0,162,142,18,91,151,91,200,233,72,34,224,200,294,188,265,251,68,96,487,251,359,281,76,25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,8,20,0,0,0,0,0,8,0,0,0,61,154,498,260,138
Alabama,Pickens,11362,264,290,273,196,125,299,299,348,661,819,849,670,295,161,280,200,319,201,131,332,308,307,410,533,517,300,139,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,55,14,101,0,0,0,0,0,0,229,415,799,457,397
Alabama,Pike,18960,470,452,415,256,375,1724,647,458,902,978,1079,969,479,120,412,383,445,267,303,1083,489,333,518,567,614,328,142,45,13,0,35,0,4,0,0,0,20,3,8,0,0,0,0,106,0,0,16,75,89,0,47,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,4,2,4,29,37,14,0,0,14,7,0,6,5,5,251,456,1001,463,456
