fips,population,date,cases,deaths
44007,NA,4/1/2020,391,3
8101,168424,3/27/2020,7,1
29169,12353,3/21/2020,1,0
12107,98320,3/21/2020,1,0
24035,50381,4/6/2020,15,0
28119,6792,3/28/2020,4,0
55101,196311,3/27/2020,9,0
54081,73361,4/8/2020,5,0
29173,10309,4/8/2020,1,0
38071,550321,3/22/2020,1,0
13243,17958,3/21/2020,1,0
28121,155271,4/3/2020,64,1
30081,43806,4/4/2020,2,0
20155,61998,4/3/2020,9,0
36083,158714,3/31/2020,55,0
27129,2327,3/21/2020,1,0
27131,9537,3/25/2020,2,0
39139,10803,3/20/2020,1,0
37153,9023,3/25/2020,1,0
20161,74232,4/3/2020,11,0
